cdp	depth	vel
5.0	10.8	1540.6665129971595
5.0	11.8	1675.4048013671052
5.0	12.8	1768.0667830721213
5.0	13.8	1793.1324607746574
5.0	14.8	1828.5731254454201
5.0	15.8	1687.229008630424
5.0	16.8	1561.1798960853248
5.0	17.8	1486.6098414033745
5.0	18.8	1467.7181034320924
5.0	19.8	1479.2815921700308
5.0	20.8	1373.407417204272
5.0	21.8	1302.1866053646522
5.0	22.8	1287.2329295071097
5.0	23.8	1292.6280889946313
5.0	24.8	1304.188798352696
5.0	25.8	1277.8266665730566
5.0	26.8	1285.4392692711424
5.0	27.8	1226.222784553526
5.0	28.8	1155.1904333602001
5.0	29.8	1114.962072217591
6.0	1.8	388.1580380990911
6.0	2.8	424.9160861591181
6.0	3.8	551.4997093342714
6.0	4.8	625.5996735885345
6.0	5.8	698.4220480591752
6.0	6.8	830.0224977949886
6.0	7.8	928.3218644369445
6.0	8.8	1137.855208404722
6.0	9.8	1430.9260769347677
6.0	10.8	1540.6665129971595
6.0	11.8	1675.4048013671052
6.0	12.8	1768.0667830721213
6.0	13.8	1793.1324607746574
6.0	14.8	1828.5731254454201
6.0	15.8	1687.229008630424
6.0	16.8	1561.1798960853248
6.0	17.8	1486.6098414033745
6.0	18.8	1467.7181034320924
6.0	19.8	1479.2815921700308
6.0	20.8	1373.407417204272
6.0	21.8	1302.1866053646522
6.0	22.8	1287.2329295071097
6.0	23.8	1292.6280889946313
6.0	24.8	1304.188798352696
6.0	25.8	1277.8266665730566
6.0	26.8	1285.4392692711424
6.0	27.8	1226.222784553526
6.0	28.8	1155.1904333602001
6.0	29.8	1114.962072217591
7.0	1.8	388.1580380990911
7.0	2.8	424.9160861591181
7.0	3.8	551.4997093342714
7.0	4.8	625.5996735885345
7.0	5.8	698.4220480591752
7.0	6.8	830.0224977949886
7.0	7.8	928.3218644369445
7.0	8.8	1137.855208404722
7.0	9.8	1430.9260769347677
7.0	10.8	1540.6665129971595
7.0	11.8	1675.4048013671052
7.0	12.8	1768.0667830721213
7.0	13.8	1793.1324607746574
7.0	14.8	1828.5731254454201
7.0	15.8	1687.229008630424
7.0	16.8	1561.1798960853248
